Field,Required,Type
measurement_id,Yes,integer
person_id,Yes,integer
measurement_concept_id,Yes,integer
measurement_date,Yes,date
measurement_datetime,No,datetime
measurement_time,No,varchar(10)
measurement_type_concept_id,Yes,integer
operator_concept_id,No,integer
value_as_number,No,float
value_as_concept_id,No,integer
unit_concept_id,No,integer
range_low,No,float
range_high,No,float
provider_id,No,integer
visit_occurrence_id,No,integer
visit_detail_id,No,integer
measurement_source_value,No,varchar(50)
measurement_source_concept_id,No,integer
unit_source_value,No,varchar(50)
value_source_value,No,varchar(50)
